Apple
Arrow
Baked Potato
Beetroot Soup
Beetroot
Black Dye
Blue Dye
Bone
Bone Meal
Book and Quill
Bowl
Bread
Brown Dye
Carrot on a Stick
Chainmail Boots
Chainmail Chestplate
Chainmail Helmet
Chainmail Leggings
Charcoal
Chorus Fruit
Coal
Cooked Chicken
Cooked Cod
Cooked Mutton
Cooked Porkchop
Cooked Rabbit
Cooked Salmon
Cookie
Cyan Dye
Debug Stick
Diamond Axe
Diamond Boots
Diamond Chestplate
Diamond Helmet
Diamond Hoe
Diamond Horse Armor
Diamond Leggings
Diamond Pickaxe
Diamond Shovel
Diamond Sword
Dried Kelp
Elytra
Empty Map
Enchanted Book
Enchanted Golden Apple
Map or Explorer Map
Glass Bottle
Golden Apple
Golden Axe
Golden Boots
Golden Carrot
Golden Chestplate
Golden Helmet
Golden Hoe
Golden Horse Armor
Golden Leggings
Golden Pickaxe
Golden Shovel
Golden Sword
Gray Dye
Green Dye
Ink Sac
Iron Ingot ‌[Java Edition only]
Iron Axe
Iron Boots
Iron Chestplate
Iron Helmet
Iron Hoe
Iron Horse Armor
Iron Leggings
Iron Nugget
Iron Pickaxe
Iron Shovel
Iron Shovel
Iron Sword
Knowledge Book
Lapis Lazuli
Leather Boots
Leather Cap
Leather Horse Armor
Leather Pants
Leather Tunic
Light Blue Dye
Light Gray Dye
Lime Dye
Magenta Dye
Melon Slice
Milk Bucket
Mushroom Stew
Music Disc (Ward)
Music Disc (Wait)
Music Disc (Stal)
Music Disc (Mellohi)
Music Disc (Mall)
Music Disc (Far)
Music Disc (Chirp)
Music Disc (Cat)
Music Disc (Blocks)
Music Disc (13)
Music Disc (11)
Music Disc (Strad)
Name Tag
Orange Dye
Pink Dye
Poisonous Potato
Potions
Pufferfish
Pumpkin Pie
Purple Dye
Rabbit Stew
Raw Beef
Raw Chicken
Raw Cod
Raw Mutton
Raw Porkchop
Raw Rabbit
Raw Salmon
Red Dye
Rotten Flesh
Saddle
Shears
Shield
Spectral Arrow
Spider Eye
Steak
Stone Axe
Stone Hoe
Stone Pickaxe
Stone Shovel
Stone Sword
Sugar
Suspicious Stew
Tipped Arrows
Totem of Undying
Tropical Fish
Turtle Shell
Wheat
White Dye
Wooden Axe
Wooden Hoe
Wooden Pickaxe
Wooden Shovel
Wooden Sword
Written Book
Yellow Dye
Acacia Boat
Armor Stand
Bat Spawn Egg
Bee Spawn Egg
Beetroot Seeds
Birch Boat
Blaze Spawn Egg
Bottle o' Enchanting
Bow
Bucket
Bucket of Cod
Bucket of Pufferfish
Bucket of Salmon
Bucket of Tropical Fish
Carrot
Cat Spawn Egg
Cave Spider Spawn Egg
Chicken Spawn Egg
Cocoa Beans
Cod Spawn Egg
Cow Spawn Egg
Creeper Spawn Egg
Crossbow
Dark Oak Boat
Dolphin Spawn Egg
Donkey Spawn Egg
Drowned Spawn Egg
Egg
Elder Guardian Spawn Egg
Ender Pearl
End Crystal
Enderman Spawn Egg
Endermite Spawn Egg
Evoker Spawn Egg
Eye of Ender
Firework Rocket
Fire Charge
Fishing Rod
Flint and Steel
Fox Spawn Egg
Ghast Spawn Egg
Guardian Spawn Egg
Hoglin Spawn Egg
Horse Spawn Egg
Husk Spawn Egg
Item Frame
Jungle Boat
Lava Bucket
Lead
Lingering Potions
Llama Spawn Egg
Magma Cube Spawn Egg
Melon Seeds
Minecart
Minecart with Chest
Minecart with Command Block
Minecart with Furnace
Minecart with Hopper
Minecart with TNT
Mooshroom Spawn Egg
Mule Spawn Egg
Nether Wart
Oak Boat
Ocelot Spawn Egg
Painting
Panda Spawn Egg
Parrot Spawn Egg
Phantom Spawn Egg
Pig Spawn Egg
Piglin Spawn Egg
Pillager Spawn Egg
Polar Bear Spawn Egg
Potato
Pufferfish Spawn Egg
Pumpkin Seeds
Rabbit Spawn Egg
Ravager Spawn Egg
Redstone Dust
Salmon Spawn Egg
Sheep Spawn Egg
Shulker Spawn Egg
Silverfish Spawn Egg
Skeleton Horse Spawn Egg
Skeleton Spawn Egg
Slime Spawn Egg
Snowball
Spider Spawn Egg
Splash Potions
Spruce Boat
Squid Spawn Egg
Stray Spawn Egg
Strider Spawn Egg
String
Sweet Berries
Trader Llama Spawn Egg
Trident
Tropical Fish Spawn Egg
Turtle Spawn Egg
Vex Spawn Egg
Villager Spawn Egg
Vindicator Spawn Egg
Wandering Trader Spawn Egg
Water Bucket
Wheat Seeds
Witch Spawn Egg
Wither Skeleton Spawn Egg
Wolf Spawn Egg
Zoglin Spawn Egg
Zombie Horse Spawn Egg
Zombie Pigman Spawn Egg
Zombie Spawn Egg
Zombie Villager Spawn Egg
Banner Pattern (Thing)
Banner Pattern (Skull Charge)
Banner Pattern (Creeper Charge)
Banner Pattern (Globe)
Banner Pattern (Flower Charge)
Blaze Powder
Blaze Rod
Book
Brick
Clay
Clock
Compass
Diamond
Dragon's Breath
Emerald
Feather
Fermented Spider Eye
Firework Star
Flint
Glistering Melon Slice
Glowstone Dust
Gold Ingot
Gold Nugget
Ghast Tear
Gunpowder
Heart of the Sea
Honey Bottle
Honeycomb
Iron Ingot ‌[Bedrock Edition only]
Leather
Magma Cream
Nautilus Shell
Nether Brick
Nether Quartz
Nether Star
Netherite Ingot
Netherite Scrap
Paper
Phantom Membrane
Popped Chorus Fruit
Prismarine Crystals
Prismarine Shard
Rabbit Hide
Rabbit's Foot
Scute
Shulker Shell
Slimeball
Stick
